@relation chat_moderacion

@attribute texto string
@attribute clase {Limpio, Toxico}

@data
"hola a todos que buen directo me encanta como explicas", Limpio
"hola a todos que buen directo", Limpio
"buenas tardes cuanto va a durar el stream", Limpio
"buenas tardes cuanto va a durar el stream de hoy", Limpio
"jajaja que buena jugada la de antes no me lo esperaba", Limpio
"no le hagas caso a los haters eres un crack", Limpio
"recordad respetar las normas del chat y sed educados", Limpio
"vas a subir este video a youtube luego para poder repasarlo", Limpio
"que paciencia tienes que tener a veces con alguna gente", Limpio
"saludos desde argentina excelente explicacion", Limpio
"que maravilla de clase asi da gusto aprender", Limpio
"que configuracion de teclado usas yo no me acostumbro", Limpio
"me encanta este canal siempre aprendo algo nuevo", Limpio
"gracias por la clase de hoy muy clara", Limpio
"puedes repetir el ultimo concepto por favor", Limpio
"buen trabajo con la explicacion del algoritmo", Limpio
"que hora es la proxima clase en directo", Limpio
"desde mexico saludos muy buen contenido", Limpio
"esto es una basura eres el peor streamer del mundo idiota", Toxico
"esto es una basura eres el peor idiota", Toxico
"eres un idiota no sabes ni jugar ojala te baneen pronto", Toxico
"eres un idiota ojala te baneen", Toxico
"que contenido tan aburrido me voy a otro canal porque este es el peor", Toxico
"que contenido tan aburrido me voy", Toxico
"este canal es el peor de todos me voy", Toxico
"que directo tan aburrido", Toxico
"ojala te mueras y te borren el canal", Toxico
"vete ya nadie te quiere aqui", Toxico
"eres un inutil deja de hacer directos", Toxico
"gana dinero rapido entrando en www estafasegura com ya mismo", Toxico
"gana dinero rapido entrando en www estafasegura com", Toxico
"consigue diez mil seguidores gratis en http seguidores fake net", Toxico
"consigue seguidores gratis en http", Toxico
"invierte en mi nueva moneda y gana dinero facil sin riesgo www cripto scam io", Toxico
"invierte en mi nueva moneda dinero facil www", Toxico
"compra seguidores baratos en mi enlace ahora mismo", Toxico
"pincha aqui para premio falso www phishing net", Toxico
"spam spam spam compra compra compra", Toxico
"idiota tonto estupido basura", Toxico
"peor streamer de la plataforma eres basura", Toxico
"me aburro muchisimo esto es basura total", Toxico
"hater99 eres horrible deja el directo", Toxico
"trollmaster contenido horrible vete", Toxico
"modbot gracias por moderar el chat", Limpio
"fanboy no le hagas caso a los haters", Limpio
"usuario1 hola a todos buen directo", Limpio
"usuario2 buenas tardes cuanto dura el stream", Limpio
"gamerpro que teclado usas para jugar", Limpio
"criptobro invierte dinero facil sin riesgo scam", Toxico
"spambot consigue seguidores gratis ahora http", Toxico
"spammer gana dinero rapido www estafa", Toxico
"haterx idiota no sabes jugar baneen", Toxico
"trollmaster aburrido peor canal me voy", Toxico
"usuario4 subir video youtube repasar", Limpio
"usuario5 saludos argentina excelente", Limpio
"manual prueba mensaje limpio de prueba", Limpio
"manual eres un idiota esto es basura", Toxico
"eres mongolo", Toxico
"eres un mongolo idiota", Toxico
