@relation chat_moderacion

@attribute texto string
@attribute clase {Limpio, Toxico}

@data
"hola a todos que buen directo me encanta como explicas", Limpio
"hola a todos que buen directo", Limpio
"buenas tardes cuanto va a durar el stream", Limpio
"buenas tardes cuanto va a durar el stream de hoy", Limpio
"jajaja que buena jugada la de antes no me lo esperaba", Limpio
"no le hagas caso a los haters eres un crack", Limpio
"recordad respetar las normas del chat y sed educados", Limpio
"vas a subir este video a youtube luego para poder repasarlo", Limpio
"que paciencia tienes que tener a veces con alguna gente", Limpio
"saludos desde argentina excelente explicacion", Limpio
"que maravilla de clase asi da gusto aprender", Limpio
"que configuracion de teclado usas yo no me acostumbro", Limpio
"me encanta este canal siempre aprendo algo nuevo", Limpio
"gracias por la clase de hoy muy clara", Limpio
"puedes repetir el ultimo concepto por favor", Limpio
"buen trabajo con la explicacion del algoritmo", Limpio
"que hora es la proxima clase en directo", Limpio
"desde mexico saludos muy buen contenido", Limpio
"esto es una basura eres el peor streamer del mundo idiota", Toxico
"esto es una basura eres el peor idiota", Toxico
"eres un idiota no sabes ni jugar ojala te baneen pronto", Toxico
"eres un idiota ojala te baneen", Toxico
"que contenido tan aburrido me voy a otro canal porque este es el peor", Toxico
"que contenido tan aburrido me voy", Toxico
"este canal es el peor de todos me voy", Toxico
"que directo tan aburrido", Toxico
"ojala te mueras y te borren el canal", Toxico
"vete ya nadie te quiere aqui", Toxico
"eres un inutil deja de hacer directos", Toxico
"gana dinero rapido entrando en www estafasegura com ya mismo", Toxico
"gana dinero rapido entrando en www estafasegura com", Toxico
"consigue diez mil seguidores gratis en http seguidores fake net", Toxico
"consigue seguidores gratis en http", Toxico
"invierte en mi nueva moneda y gana dinero facil sin riesgo www cripto scam io", Toxico
"invierte en mi nueva moneda dinero facil www", Toxico
"compra seguidores baratos en mi enlace ahora mismo", Toxico
"pincha aqui para premio falso www phishing net", Toxico
"spam spam spam compra compra compra", Toxico
"idiota tonto estupido basura", Toxico
"peor streamer de la plataforma eres basura", Toxico
"me aburro muchisimo esto es basura total", Toxico
"hater99 eres horrible deja el directo", Toxico
"trollmaster contenido horrible vete", Toxico
"modbot gracias por moderar el chat", Limpio
"fanboy no le hagas caso a los haters", Limpio
"usuario1 hola a todos buen directo", Limpio
"usuario2 buenas tardes cuanto dura el stream", Limpio
"gamerpro que teclado usas para jugar", Limpio
"criptobro invierte dinero facil sin riesgo scam", Toxico
"spambot consigue seguidores gratis ahora http", Toxico
"spammer gana dinero rapido www estafa", Toxico
"haterx idiota no sabes jugar baneen", Toxico
"trollmaster aburrido peor canal me voy", Toxico
"usuario4 subir video youtube repasar", Limpio
"usuario5 saludos argentina excelente", Limpio
"manual prueba mensaje limpio de prueba", Limpio
"manual eres un idiota esto es basura", Toxico
"eres mongolo", Toxico
"eres un mongolo idiota", Toxico

"vaya basura de directo me voy a otra parte", Toxico
"eres el peor jugando a esto que malo eres", Toxico
"que inutil eres de verdad dedicate a otra cosa", Toxico
"eres un idiota integral no sabes hacer nada", Toxico
"que aburrido eres por favor cierra el directo", Toxico
"este es el peor canal de twitch sin duda", Toxico
"eres basura humana vete ya", Toxico
"ojala te baneen hoy mismo por idiota", Toxico
"menudo mongolo eres no das una", Toxico
"nadie te quiere aqui vete a tu casa idiota", Toxico
"eres un inutil total no sirves para hacer streaming", Toxico
"que directo tan basura no se como te ve la gente", Toxico
"eres el peor streamer que he visto en mi vida", Toxico
"eres un mongolo idiota de verdad", Toxico
"trollmaster eres basura vete del canal", Toxico
"gana dinero facil y rapido aqui entrando en mi link", Toxico
"compra seguidores reales y baratos en www seguidores top com", Toxico
"consigue pavos gratis entrando en este enlace ya mismo", Toxico
"invierte en bitcoin facil y sin riesgo con mi metodo", Toxico
"gana dinero desde casa entrando en www scam total net", Toxico
"seguidores gratis aqui http free followers net rapido", Toxico
"entra en este enlace para ganar un premio falso", Toxico
"visita mi pagina de cripto para ganar dinero rapido sin riesgo", Toxico
"spam spam compra tus bots de chat aqui www bots net", Toxico
"consigue visitas gratis entrando en el enlace de mi perfil", Toxico
"hola que tal va el directo de hoy", Limpio
"muchas gracias por los consejos me sirven mucho", Limpio
"saludos desde colombia eres un grande", Limpio
"me encanta la comunidad de este canal todos son muy amables", Limpio
"que buena partida has jugado muy buena estrategia", Limpio
"a que hora sueles hacer directos los fines de semana", Limpio
"gracias a los moderadores por mantener el chat limpio", Limpio
"me guardo el video para verlo luego con mas calma", Limpio
"que buena explicacion de la build la voy a probar", Limpio
"hola buenas tardes a todos los del chat", Limpio
"llegue tarde de que me he perdido en el directo", Limpio
"puedes enseñar otra vez tu configuracion de audio por favor", Limpio
"que buen ambiente hay siempre en tus directos", Limpio
"felicidades por llegar a los mil seguidores te lo mereces", Limpio
"un saludo para toda la gente que te apoya desde el principio", Limpio
"me equivoque de boton que tonto soy jajaja", Limpio
"este enemigo es una basura de dificil no puedo con el", Limpio
"el juego es un poco aburrido pero tu transmision es genial", Limpio
"me siento un inutil jugando a este juego no paso del nivel uno", Limpio
"el boss final es el peor de toda la saga muy mal diseñado", Limpio
"que tonto fui al no comprar el juego en rebajas", Limpio
"he perdido toda mi moneda del juego apostando en las predicciones", Limpio
"vaya basura de conexion tengo hoy se me corta el video", Limpio
"el personaje es un idiota en la historia de este juego", Limpio
"no gano dinero facil trabajando duro se consigue todo", Limpio
